input,name,quantity,unit,comment
"extra virgin olive oil, to taste",extra virgin olive oil,,,to taste
455 g extra lean beef mince,extra lean beef mince,455,g,
"1 medium onion, finely diced",onion,1,medium,finely diced
180 ml passata,passata,180,ml,
"1 red pepper, diced",red pepper,1,,diced
"1 green pepper, diced",green pepper,1,,diced
175 g frozen sweetcorn,frozen sweetcorn,175,g,
180 g uncooked long-grain rice,uncooked long-grain rice,180,g,
600 ml water or stock,water or stock,600,ml,
"4 spring onions, diced",spring onions,4,,diced
4-6 tbsp quark,quark,4-6,tbsp,
"120 g cheddar cheese, grated",cheddar cheese,120,g,grated
1.5 tsp cumin,cumin,1.5,tsp,
1.5 tsp paprika,paprika,1.5,tsp,
1.5 tsp chilli powder,chilli powder,1.5,tsp,
0.5 tsp oregano,oregano,0.5,tsp,
0.25 tsp garlic powder,garlic powder,0.25,tsp,
0.25 tsp onion powder,onion powder,0.25,tsp,
0.25 tsp cayenne pepper (can add more or less depending on your preferred spice level),cayenne pepper (can add more or less depending on your preferred spice level),0.25,tsp,
4 cups King Arthur Unbleached All-Purpose Flour,King Arthur Unbleached All-Purpose Flour,4,cups,
3 tbsp yellow cornmeal,yellow cornmeal,3,tbsp,
1.75 tsp salt,salt,1.75,tsp,
2.75 tsp instant yeast,instant yeast,2.75,tsp,
2 tbsp olive oil,olive oil,2,tbsp,
"4 tbsp butter, melted",butter,4,tbsp,melted
2 tbsp vegetable oil,vegetable oil,2,tbsp,
1 cup plus 2 tablespoon lukewarm water,plus 2 tablespoon lukewarm water,1,cup,
"0.75 lbs mozzarella cheese, sliced",mozzarella cheese,0.75,lbs,sliced
"1 lb Italian sweet or hot sausage, cooked and sliced; or about 3 cup of the sauteed vegetables of your choice",Italian sweet or hot sausage,1,lb,cooked and sliced; or about 3 cup of the sauteed vegetables of your choice
"1x 28-oz can plum tomatoes, lightly crushed; or 28-ounce can diced or chopped tomatoes",plum tomatoes,1x,28-oz can,lightly crushed; or 28-ounce can diced or chopped tomatoes
"2-4 cloves garlic , peeled and minced, optional",garlic ,2-4,cloves,"peeled and minced, optional"
"1 tbsp granulated sugar, optional",granulated sugar,1,tbsp,optional
"1-2 tsp Pizza Seasoning or mixed dried Italian herbs (oregano basil rosemary), to taste",Pizza Seasoning or mixed dried Italian herbs (oregano basil rosemary),1-2,tsp,to taste
1 cup freshly grated Parmesan or Asiago cheese,freshly grated Parmesan or Asiago cheese,1,cup,
2 tbsp olive oil to drizzle on top,olive oil to drizzle on top,2,tbsp,
"1 large onion, roughly chopped",onion,1,large,roughly chopped
"6 cloves garlic, peeled",garlic,6,cloves,peeled
"45 g fresh coriander, stalks and leaves separated and roughly chopped",fresh coriander,45,g,stalks and leaves separated and roughly chopped
2.5 tbsp berbere spice (we recommend the Bart brand),berbere spice (we recommend the Bart brand),2.5,tbsp,
2 tbsp tomato paste,tomato paste,2,tbsp,
"2.5 tbsp runny honey, plus a little extra for drizzling",runny honey,2.5,tbsp,plus a little extra for drizzling
3 tbsp apple cider vinegar,apple cider vinegar,3,tbsp,
90 ml olive oil,olive oil,90,ml,
"800 g carrots, peeled and cut into 4-5 cm lengths",carrots,800,g,peeled and cut into 4-5 cm lengths
"2 tins chickpeas, drained",chickpeas,2,tins,drained
"8 medium chicken thighs, skin on and bone in",chicken thighs,8,medium,skin on and bone in
2-3 oranges: 1 left whole and the rest juiced to get 100 ml,oranges: 1 left whole and the rest juiced to get 100 ml,2-3,,
salt and black pepper,salt and black pepper,,,
175 g smoked haddock fillet,smoked haddock fillet,175,g,
"50 g butter, diced",butter,50,g,diced
175 ml double cream,double cream,175,ml,
"4 eggs, separated",eggs,4,,separated
40 g mature cheddar cheese,mature cheddar cheese,40,g,
ground black pepper,ground black pepper,,,
"watercress, to garnish",watercress,,,to garnish
350 g dried spaghetti (or leftover cooked spaghetti),dried spaghetti (or leftover cooked spaghetti),350,g,
3 tbsps olive oil,olive oil,3,tbsps,
"3 cloves garlic, crushed",garlic,3,cloves,crushed
800 g canned chopped tomatoes,canned chopped tomatoes,800,g,
1 tsp ground turmeric,ground turmeric,1,tsp,
0.5 tsps sugar,sugar,0.5,tsps,
sea salt and freshly ground black pepper,sea salt and freshly ground black pepper,,,
"190 g canned tuna, drained",canned tuna,190,g,drained
1 tbsp capers,capers,1,tbsp,
"2 apples, grated",apples,2,,grated
1 tbsp tomato purée,tomato purée,1,tbsp,
150 g grated Cheddar or Gloucester cheese,grated Cheddar or Gloucester cheese,150,g,
75 g dried chickpeas,dried chickpeas,75,g,
75 g green lentils,green lentils,75,g,
"0.25 cup celery leaves, minced",celery leaves,0.25,cup,minced
"0.25 cup parsley, minced",parsley,0.25,cup,minced
"0.25 cup coriander, minced",coriander,0.25,cup,minced
1 medium brown onion,brown onion,1,medium,
"200 g finely diced tomatoes, canned are recommended",finely diced tomatoes,200,g,canned are recommended
250 g finely diced lamb or beef,finely diced lamb or beef,250,g,
1 tbsp butter,butter,1,tbsp,
0.5 tsp ground cinnamon,ground cinnamon,0.5,tsp,
0.75 tsp ginger powder,ginger powder,0.75,tsp,
0.5 tsp black pepper,black pepper,0.5,tsp,
2 tsp salt,salt,2,tsp,
70 g tomato paste,tomato paste,70,g,
25 g all purpose flour,all purpose flour,25,g,
"75 g vermicelli noodles, wheat, not rice",vermicelli noodles,75,g,"wheat, not rice"
"2 lemons, for serving",lemons,2,,for serving
4 tbsp olive oil,olive oil,4,tbsp,
"1 aubergine, cut into small chunks",aubergine,1,,cut into small chunks
"150 g mushroom, chopped",mushroom,150,g,chopped
"4 roasted red peppers, chopped",roasted red peppers,4,,chopped
700 g passata with onions and garlic,passata with onions and garlic,700,g,
8-10 lasagne sheets,lasagne sheets,8-10,,
"400 g frozen spinach, defrosted",frozen spinach,400,g,defrosted
1x 250 g tub ricotta,ricotta,1x,250 g tub,
25 g grated Parmesan (or vegetarian alternative),grated Parmesan (or vegetarian alternative),25,g,
25 g pine nuts,pine nuts,25,g,
1x 240 g pack salmon fillets,salmon fillets,1x,240 g pack,
300 g dried fusilli,dried fusilli,300,g,
2 tbsp extra-virgin olive oil,extra-virgin olive oil,2,tbsp,
"1 small onion, finely chopped",onion,1,small,finely chopped
"3 large cloves garlic, finely chopped",garlic,3,large cloves,finely chopped
"600 g fresh tomatoes, deseeded and roughly chopped",fresh tomatoes,600,g,deseeded and roughly chopped
"50 g pitted green olives in brine, sliced",pitted green olives in brine,50,g,sliced
"1x 30 g pack flat-leaf parsley, finely chopped",flat-leaf parsley,1x,30 g pack,finely chopped
30 g fresh white breadcrumbs,fresh white breadcrumbs,30,g,
"30 g Italian-style hard cheese or Parmesan, finely grated",Italian-style hard cheese or Parmesan,30,g,finely grated
1 tbsp olive oil,olive oil,1,tbsp,
"1 large onion, halved and sliced",onion,1,large,halved and sliced
"2 large carrots (500 g in total), cut into sugar-cube size pieces",carrots (500 g in total),2,large,cut into sugar-cube size pieces
"2 tbsp thyme, chopped",thyme,2,tbsp,chopped
200 ml red wine,red wine,200,ml,
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
2 vegetable stock cubes,vegetable stock cubes,2,,
1x 410 g can green lentils,green lentils,1x,410 g can,
"950 g sweet potatoes, peeled and cut into chunks",sweet potatoes,950,g,peeled and cut into chunks
25 g butter,butter,25,g,
"85 g vegetarian mature cheddar, grated",vegetarian mature cheddar,85,g,grated
4 tbsp oil,oil,4,tbsp,
500 g lamb mince,lamb mince,500,g,
3 tbsp Moroccan spice mix,Moroccan spice mix,3,tbsp,
1x 400 g can chopped tomatoes with garlic and onion,chopped tomatoes with garlic and onion,1x,400 g can,
750 g cooked potatoes,cooked potatoes,750,g,
0.5 mug basmati rice,basmati rice,0.5,mug,
50 g cashew nuts,cashew nuts,50,g,
2 tbsp olive oil,olive oil,2,tbsp,
"3 chicken breasts, cut into bitesized pieces",chicken breasts,3,,cut into bitesized pieces
"14 ready-to-eat apricots, roughly chopped",ready-to-eat apricots,14,,roughly chopped
1 chicken stock cube,chicken stock cube,1,,
3 tbsp natural yoghurt,natural yoghurt,3,tbsp,
3 tbsp freshly chopped coriander,freshly chopped coriander,3,tbsp,
"1 onion, roughly chopped",onion,1,,roughly chopped
2 tbsp tomato puree,tomato puree,2,tbsp,
50 g cashew nuts,cashew nuts,50,g,
1 tbsp garam marsala,garam marsala,1,tbsp,
2 cloves garlic,garlic,2,cloves,
juice of &frac12; a lemon,juice of &frac12; a lemon,,,
1 tsp tumeric,tumeric,1,tsp,
1 mug water,water,1,mug,
2 tbsp olive oil,olive oil,2,tbsp,
"1 medium onion, sliced",onion,1,medium,sliced
"300 g mini Portobello mushrooms or chestnut mushrooms, sliced",mini Portobello mushrooms or chestnut mushrooms,300,g,sliced
"2 cloves garlic, crushed",garlic,2,cloves,crushed
1.5 tsp ground cumin,ground cumin,1.5,tsp,
1 tsp smoked paprika,smoked paprika,1,tsp,
"2x 400 g cans green lentils, drained and rinsed (drained weight 240g)",green lentils,2x,400 g cans,drained and rinsed (drained weight 240g)
1 tbsp soy sauce,soy sauce,1,tbsp,
1 tbsp balsamic vinegar,balsamic vinegar,1,tbsp,
"1 medium sweet potato, peeled and very thinly sliced",sweet potato,1,medium,peeled and very thinly sliced
"1 large potato, very thinly sliced",potato,1,large,very thinly sliced
"1 sprig thyme, leaves picked",thyme,1,sprig,leaves picked
2.25 lbs ground lamb,ground lamb,2.25,lbs,
1 packed cup shredded Amul cheese or white Cheddar,shredded Amul cheese or white Cheddar,1,packed cup,
0.333 packed cup very finely chopped fresh cilantro,very finely chopped fresh cilantro,0.333,packed cup,
"2 tbsp plus 2 teaspoons deggi chile powder, plus additional for garnish",plus 2 teaspoons deggi chile powder,2,tbsp,plus additional for garnish
1 tbsp minced fresh ginger,minced fresh ginger,1,tbsp,
"3 cloves garlic, minced",garlic,3,cloves,minced
1 tbsp minced green Thai chile or serrano chile (with seeds),minced green Thai chile or serrano chile (with seeds),1,tbsp,
2 tsp garam masala,garam masala,2,tsp,
1 tsp black cumin seeds (shah zeera) or regular cumin seeds,black cumin seeds (shah zeera) or regular cumin seeds,1,tsp,
0.75 tsp ground cardamom,ground cardamom,0.75,tsp,
Kosher salt,Kosher salt,,,
"Neutral oil, for greasing",Neutral oil,,,for greasing
"3 packed cups roughly chopped cilantro, leaves and tender stems",roughly chopped cilantro,3,packed cups,leaves and tender stems
2 packed cups roughly chopped fresh mint leaves,roughly chopped fresh mint leaves,2,packed cups,
0.25 cup finely chopped red onion,finely chopped red onion,0.25,cup,
1 tbsp minced fresh ginger,minced fresh ginger,1,tbsp,
1 tsp minced green Thai or serrano chile (seeds included),minced green Thai or serrano chile (seeds included),1,tsp,
"2 tbsp anardana (dried pomegranate seeds), crushed, or very finely chopped fresh mango",anardana (dried pomegranate seeds),2,tbsp,"crushed, or very finely chopped fresh mango"
2 tsp lemon juice,lemon juice,2,tsp,
"1 tsp granulated sugar, plus more as needed",granulated sugar,1,tsp,plus more as needed
"Red onion, very thinly sliced, for serving (optional)",Red onion,,,"very thinly sliced, for serving (optional)"
1 tbsp coconut oil,coconut oil,1,tbsp,
1 onion,onion,1,,
"2 cloves garlic, grated",garlic,2,cloves,grated
"thumb-sized piece ginger, grated",ginger,,thumb-sized piece,grated
2 tbsp Thai red curry paste,Thai red curry paste,2,tbsp,
1 tbsp smooth peanut butter,smooth peanut butter,1,tbsp,
500 g sweet potato,sweet potato,500,g,
1x 400 ml can coconut milk,coconut milk,1x,400 ml can,
200 g spinach,spinach,200,g,
"1 lime, juiced",lime,1,,juiced
"cooked rice, to serve",cooked rice,,,to serve
"dry roasted peanuts, to servve",dry roasted peanuts,,,to servve
600 ml milk,milk,600,ml,
1 sprig thyme,thyme,1,sprig,
600 g skinned white fish fillets,skinned white fish fillets,600,g,
55 g butter,butter,55,g,
2 tbsp plain flour,plain flour,2,tbsp,
"50 g block creamed coconut, roughly chopped",block creamed coconut,50,g,roughly chopped
salt and pepper,salt and pepper,,,
"1.5 limes, juiced",limes,1.5,,juiced
"leaves from a large bunch coriander, chopped",leaves from a large bunch coriander,,,chopped
"250 g young leaf spinach, washed",young leaf spinach,250,g,washed
"900 g sweet potatoes, peeled",sweet potatoes,900,g,peeled
40 g butter,butter,40,g,
good grating of nutmeg,good grating of nutmeg,,,
pinch of ground allspice,pinch of ground allspice,,,
salt and pepper,salt and pepper,,,
60 g butter,butter,60,g,
"1 large onion, finely chopped",onion,1,large,finely chopped
"2 sprigs thyme, leaves picked",thyme,2,sprigs,leaves picked
"250 g pack chestnut mushrooms, sliced",pack chestnut mushrooms,250,g,sliced
300 g risotto rice,risotto rice,300,g,
1.5 l hot chicken stock,hot chicken stock,1.5,l,
"200 g cooked chicken, chopped into chunks",cooked chicken,200,g,chopped into chunks
"50 g grated parmesan, plus extra to serve (optional)",grated parmesan,50,g,plus extra to serve (optional)
"small pack parsley, finely chopped",parsley,,small pack,finely chopped
"4 cooking chorizo sausages, cut into thick slices",cooking chorizo sausages,4,,cut into thick slices
"1 red onion, sliced",red onion,1,,sliced
"2 cloves garlic, sliced",garlic,2,cloves,sliced
1 tsp smoked paprika,smoked paprika,1,tsp,
1 tsp cumin seeds,cumin seeds,1,tsp,
1x 400 g can cherry tomatoes,cherry tomatoes,1x,400 g can,
juice 1 lemon,juice 1 lemon,,,
"1x 400 g can chickpeas, drained",chickpeas,1x,400 g can,drained
"1 handful flat-leaf parsley, chopped",flat-leaf parsley,1,handful,chopped
"toasted sourdough bread, to serve",toasted sourdough bread,,,to serve
4 tbsp extra virgin olive oil,extra virgin olive oil,4,tbsp,
3 tbsp chopped flat-leaf parsley,chopped flat-leaf parsley,3,tbsp,
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
"1 red chilli, deseeded and finely chopped",red chilli,1,,deseeded and finely chopped
"1 cm knob ginger, peeled and finely chopped",ginger,1,cm knob,peeled and finely chopped
450 g passata,passata,450,g,
"400 g tuna in olive oil, drained and flaked","tuna in olive oil, drained and flaked",400,g,
375 g linguine,linguine,375,g,
"2 lbs boneless, skin-on chicken thighs, or boneless, skinless","boneless, skin-on chicken thighs",2,lbs,"or boneless, skinless"
1 tbsp extra virgin olive oil,extra virgin olive oil,1,tbsp,
"1 mandarin or lime, juiced",mandarin or lime,1,,juiced
1 tbsp Aji rocoto (optional),Aji rocoto (optional),1,tbsp,
1 tbsp ground cumin,ground cumin,1,tbsp,
2 tsp smoked paprika,smoked paprika,2,tsp,
2 tsp garlic powder,garlic powder,2,tsp,
1 tsp salt,salt,1,tsp,
1 tsp freshly ground black pepper,freshly ground black pepper,1,tsp,
0.5 tsp freshly ground white pepper (optional),freshly ground white pepper (optional),0.5,tsp,
0.5 tsp Mexican oregano,Mexican oregano,0.5,tsp,
2 tsp neutral oil (for frying),neutral oil (for frying),2,tsp,
"2 russet or Yukon gold potatoes, peeled and cut into thick round cylinders about 2 inches thick",russet or Yukon gold potatoes,2,,peeled and cut into thick round cylinders about 2 inches thick
2 tbsp butter,butter,2,tbsp,
Salt to taste,Salt to taste,,,
1 avocado,avocado,1,,
"1 Roma tomato, diced",Roma tomato,1,,diced
"1 jalapeno, trimmed and minced",jalapeno,1,,trimmed and minced
"0.25 cup fresh cilantro leaves, minced",fresh cilantro leaves,0.25,cup,minced
"1 lime, juiced",lime,1,,juiced
Salt and pepper to taste,Salt and pepper to taste,,,
1 cup uncooked white rice,uncooked white rice,1,cup,
2 cups water,water,2,cups,
1 tbsp butter (optional),butter (optional),1,tbsp,
Salt to taste,Salt to taste,,,
Aji verde,Aji verde,,,
Minced cilantro,Minced cilantro,,,
2 mugs pasta/4 bunches tagliatelle,pasta/4 bunches tagliatelle,2,mugs,
250 g streaky bacon,streaky bacon,250,g,
1 tbsp olive oil,olive oil,1,tbsp,
"1 yellow/orange pepper, cut into small chunks",yellow/orange pepper,1,,cut into small chunks
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
"bunch spring onions, chopped",spring onions,,bunch,chopped
"250 g chestnut mushrooms, sliced",chestnut mushrooms,250,g,sliced
300 ml Greek Yoghurt,Greek Yoghurt,300,ml,
0.5 mug pine nutes,pine nutes,0.5,mug,
2 tbsp freshly chopped basil,freshly chopped basil,2,tbsp,
400 g uncooked tilda basmati rice,uncooked tilda basmati rice,400,g,
2 veggie stock,veggie stock,2,,
5 tbsp butter,butter,5,tbsp,
handful pistachios,pistachios,,handful,
3 brown onions,brown onions,3,,
5 cardamom pods,cardamom pods,5,,
1 tbsp curry powder,curry powder,1,tbsp,
1 tsp turmeric,turmeric,1,tsp,
2 bay leaves,bay leaves,2,,
2 tsp chilli flakes,chilli flakes,2,tsp,
4 eggs,eggs,4,,
bunch mint,mint,,bunch,
1 lemon,lemon,1,,
salt,salt,,,
8 oz spaghetti,spaghetti,8,oz,
0.25 cup unsalted butter,unsalted butter,0.25,cup,
"4 cloves garlic, minced",garlic,4,cloves,minced
2 tbsp all-purpose flour,all-purpose flour,2,tbsp,
"1 cup chicken broth, or more as needed",chicken broth,1,cup,or more  as needed
1 tsp dried thyme,dried thyme,1,tsp,
0.5 tsp dried basil,dried basil,0.5,tsp,
0.5 cup cream,cream,0.5,cup,
0.5 cup freshly grated Parmesan,freshly grated Parmesan,0.5,cup,
"Kosher salt and freshly ground black pepper, to taste",Kosher salt and freshly ground black pepper,,,to taste
2 cups chopped ham,chopped ham,2,cups,
1 cup frozen sweet peas,frozen sweet peas,1,cup,
2 tbsp chopped fresh parsley leaves,chopped fresh parsley leaves,2,tbsp,
"1 large red onion, roughly chopped",red onion,1,large,roughly chopped
"3 cloves garlic, peeled",garlic,3,cloves,peeled
"2.5 cm piece of fresh ginger, peeled",piece of fresh ginger,2.5,cm,peeled
"1 green chilli, stems removed",green chilli,1,,stems removed
3 tbsp vegetable oil,vegetable oil,3,tbsp,
400 g baby potatoes,baby potatoes,400,g,
1.5 tsp salt,salt,1.5,tsp,
1 tsp ground turmeric,ground turmeric,1,tsp,
1.5 tbsp garam masala,garam masala,1.5,tbsp,
1 tsp sugar,sugar,1,tsp,
2 tbsp tomato purée,tomato purée,2,tbsp,
"150 ml water, or as needed",water,150,ml,or as needed
"small bunch of fresh coriander, stems and leaves roughly chopped",of fresh coriander,,small bunch,stems and leaves roughly chopped
"1 small cauliflower, broken into small florets",cauliflower,1,small,broken into small florets
"2 sweet potatoes, peeled and cut into bitesized chunks",sweet potatoes,2,,peeled and cut into bitesized chunks
"1 large onion, sliced",onion,1,large,sliced
Low-calorie cooking spray,Low-calorie cooking spray,,,
800 ml hot vegetable stock,hot vegetable stock,800,ml,
2 tbsp curry powder,curry powder,2,tbsp,
2 whole dried red Kashmiri chillies,whole dried red Kashmiri chillies,2,,
0.5 tsp saffron strands,saffron strands,0.5,tsp,
2 tsp cumin seeds,cumin seeds,2,tsp,
1 tsp black mustard seeds,black mustard seeds,1,tsp,
1 cinnamon stick,cinnamon stick,1,,
"4 green cardamom pods, lightly crushed",green cardamom pods,4,,lightly crushed
2 cloves,cloves,2,,
400 g dried basmati rice,dried basmati rice,400,g,
"200 g green beans, halved",green beans,200,g,halved
juice of 1 lemon,juice of 1 lemon,,,
2 tbsp each of chopped fresh coriander and mint leaves,each of chopped fresh coriander and mint leaves,2,tbsp,
150 g fat-free natural yogurt,fat-free natural yogurt,150,g,
"0.5 cucumber, deseeded and coarsely grated",cucumber,0.5,,deseeded and coarsely grated
pinch of paprika,of paprika,,pinch,
250 g frozen spinach,frozen spinach,250,g,
40 g butter,butter,40,g,
"200 g frozen diced onion (or 1 onion, finely diced)","frozen diced onion (or 1 onion, finely diced)",200,g,
"1 tbsp frozen chopped garlic (or 2 fresh cloves, finely chopped)","frozen chopped garlic (or 2 fresh cloves, finely chopped)",1,tbsp,
a good pinch of ground allspice,a good pinch of ground allspice,,,
"140 g cooked basmati rice, (from a ready-cooked pouch is fine)",cooked basmati rice,140,g,(from a ready-cooked pouch is fine)
"3 tbsps frozen (or fresh parsley), chopped",frozen (or fresh parsley),3,tbsps,chopped
"a small bunch of dill, chopped",a small bunch of dill,,,chopped
finely grated zest of 1 lemon,finely grated zest of 1 lemon,,,
1x 375 g ready-rolled frozen puff pastry sheet,ready-rolled frozen puff pastry sheet,1x,375 g,
"4 frozen salmon fillets, defrosted and skin removed",frozen salmon fillets,4,,defrosted and skin removed
"1 egg, beaten",egg,1,,beaten
sea salt and ground black pepper,sea salt and ground black pepper,,,
"roasted cherry tomatoes or cooked freezer veg, to serve",roasted cherry tomatoes or cooked freezer veg,,,to serve
"1 medium red onion, cut into wedges",red onion,1,medium,cut into wedges
"2 courgettes, cut into chunks",courgettes,2,,cut into chunks
"3 cloves garlic, unpeeled",garlic,3,cloves,unpeeled
3 tbsp olive oil,olive oil,3,tbsp,
250 g pack cherry tomatoes,pack cherry tomatoes,250,g,
140 g fusilli,fusilli,140,g,
handful basil leaves,basil leaves,,handful,
"freshly grated Parmesan cheese, to serve",freshly grated Parmesan cheese,,,to serve
100 g butter,butter,100,g,
"1 large onion, finely chopped",onion,1,large,finely chopped
"2 small cloves garlic, finely chopped",garlic,2,small cloves,finely chopped
1.5 mug risotto rice,risotto rice,1.5,mug,
4 mugs water,water,4,mugs,
2 vegetable stock cube,vegetable stock cube,2,,
"2x 120 g pack shiitake mushrooms, sliced",shiitake mushrooms,2x,120 g pack,sliced
salt and pepper,salt and pepper,,,
"1 tbsp fresh basil, chopped",fresh basil,1,tbsp,chopped
"Paremesan cheese, to serve",Paremesan cheese,,,to serve
"45 ml olive oil, plus extra to serve",olive oil,45,ml,plus extra to serve
"0.5 onion, finely chopped",onion,0.5,,finely chopped
"2 cloves garlic, crushed",garlic,2,cloves,crushed
2 tsp ground cumin,ground cumin,2,tsp,
"10 g thyme leaves, finely chopped",thyme leaves,10,g,finely chopped
"25 g anchovy fillets in oil, drained and finely chopped (about 7)",anchovy fillets in oil,25,g,drained and finely chopped (about 7)
"1 lemon, finely shave the skin of &frac12;, then juice to get 2 tbsp",lemon,1,,"finely shave the skin of &frac12;, then juice to get 2 tbsp"
"2x 400 g tin cooked chickpeas, drained",cooked chickpeas,2x,400 g tin,drained
1 tsp soft brown sugar,soft brown sugar,1,tsp,
400 ml chicken stock,chicken stock,400,ml,
200 g gigli pasta (or conchiglie or orecchiette),gigli pasta (or conchiglie or orecchiette),200,g,
50 g baby spinach leaves,baby spinach leaves,50,g,
"15 g parsley, roughly chopped",parsley,15,g,roughly chopped
1.5 tsp za'atar,za'atar,1.5,tsp,
salt and black pepper,salt and black pepper,,,
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, thinly sliced",onion,1,,thinly sliced
"200 g chicken breast, diced",chicken breast,200,g,diced
good chunk fresh root ginger,fresh root ginger,,good chunk,
"1-2 tbsp harissa paste, plus extra to serve",harissa paste,1-2,tbsp,plus extra to serve
10 dried apricots,dried apricots,10,,
"1x 220 g can chickpeas, rinsed and drained",chickpeas,1x,220 g can,rinsed and drained
200 g couscous,couscous,200,g,
200 ml hot chicken stock,hot chicken stock,200,ml,
"handful coriander, chopped, to serve",coriander,,handful,"chopped, to serve"
450 g boneless skinless chicken thighs,boneless skinless chicken thighs,450,g,
450 g boneless skinless chicken breasts,boneless skinless chicken breasts,450,g,
250 ml soy sauce,soy sauce,250,ml,
250 ml cup water,cup water,250,ml,
128 g sugar,sugar,128,g,
1 tbsp Worcestershire sauce,Worcestershire sauce,1,tbsp,
"1 inch piece fresh ginger, chopped",fresh ginger,1,inch piece,chopped
"1 clove garlic, minced",garlic,1,clove,minced
dash red pepper flakes,dash red pepper flakes,,,
sweet chilli sauce,sweet chilli sauce,,,
soy sauce,soy sauce,,,
ketchup,ketchup,,,
garlic,garlic,,,
knob of ginger,knob of ginger,,,
cornflour,cornflour,,,
2 eggs,eggs,2,,
basmati rice,basmati rice,,,
"750 g skinless, boneless chicken thighs","skinless, boneless chicken thighs",750,g,
rice wine vinegar,rice wine vinegar,,,
sesame oil,sesame oil,,,
bunch spring onions,spring onions,,bunch,
sesame seeds,sesame seeds,,,
500 g loin of pork,loin of pork,500,g,
2 tbsp sunflower oil,sunflower oil,2,tbsp,
2 tbsp jerk seasoning,jerk seasoning,2,tbsp,
150 g fine green beans,fine green beans,150,g,
250 g long-grain rice,long-grain rice,250,g,
"1 onion, diced",onion,1,,diced
1 tsp dried oregano,dried oregano,1,tsp,
"1x 400 g can red kidney beans, drained and rinsed",red kidney beans,1x,400 g can,drained and rinsed
"1 mango, coarsely grated",mango,1,,coarsely grated
"1 lime, finely grated zest and juice only",lime,1,,finely grated zest and juice only
1 tbsp honey,honey,1,tbsp,
"800 g sweet potatoes, peeled and cut into 3-4 cm chunks",sweet potatoes,800,g,peeled and cut into 3-4 cm chunks
3 tbsp olive oil,olive oil,3,tbsp,
"1 onion, chopped",onion,1,,chopped
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
"25 g root ginger, finely chopped",root ginger,25,g,finely chopped
2 tsp ground turmeric,ground turmeric,2,tsp,
1.2 ltr vegetable stock (made using 2 stock cubes or pots),vegetable stock (made using 2 stock cubes or pots),1.2,ltr,
4 tbsp freshly squeezed orange juice (about 1 orange),freshly squeezed orange juice (about 1 orange),4,tbsp,
"50 g lighter creme fraiche, to decorate",lighter creme fraiche,50,g,to decorate
1 tbsp olive oil,olive oil,1,tbsp,
"1 red onion, finely sliced",red onion,1,,finely sliced
"1x 400 g can chickpeas, drained",chickpeas,1x,400 g can,drained
50 g shredded curly kale,shredded curly kale,50,g,
1 tbsp tahini,tahini,1,tbsp,
juice 1 lemon,juice 1 lemon,,,
"2 tbsp flat-leaf parsley, chopped",flat-leaf parsley,2,tbsp,chopped
1x 150 g pack raw shelled prawns,raw shelled prawns,1x,150 g pack,
2 tsp harissa,harissa,2,tsp,
1 tbsp olive oil,olive oil,1,tbsp,
6 pork sausages,pork sausages,6,,
1 tsp chilli flakes,chilli flakes,1,tsp,
1 tsp fennel seeds (optional),fennel seeds (optional),1,tsp,
500 g fresh gnocchi,fresh gnocchi,500,g,
500 ml chicken stock (fresh if you can get it),chicken stock (fresh if you can get it),500,ml,
100 g chopped kale,chopped kale,100,g,
"40 g parmesan, finely grated",parmesan,40,g,finely grated
20 g dried porcini mushrooms,dried porcini mushrooms,20,g,
salted butter,salted butter,,,
1 brown onion,brown onion,1,,
250 g chestnut mushrooms,chestnut mushrooms,250,g,
400 g orzo pasta,orzo pasta,400,g,
chicken stock cube,chicken stock cube,,,
Parmesan cheese,Parmesan cheese,,,
fresh parsley,fresh parsley,,,
fresh tarragon,fresh tarragon,,,
salt and pepper,salt and pepper,,,
2 tbsp olive oil,olive oil,2,tbsp,
"1 red pepper, cut into small chunks",red pepper,1,,cut into small chunks
"200 g chorizo, cut into small chunks",chorizo,200,g,cut into small chunks
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
"4 tomatoes, chopped",tomatoes,4,,chopped
"6 spring onions, sliced",spring onions,6,,sliced
1 mug risotto rice,risotto rice,1,mug,
2 mugs water + 1 tbsp concentrated liquid vegetable stock or 1 vegetable stock cube,water + 1 tbsp concentrated liquid vegetable stock or 1 vegetable stock cube,2,mugs,
400 g raw prawns,raw prawns,400,g,
1 tbsp sunflower or rapeseed oil,sunflower or rapeseed oil,1,tbsp,
"2 peppers (1 red, 1 yellow) , deseeded and thickly sliced","peppers (1 red, 1 yellow) ",2,,deseeded and thickly sliced
"250 g pack shiitake or chestnut mushrooms, sliced",pack shiitake or chestnut mushrooms,250,g,sliced
250 g long grain rice (not the easy-cook type),long grain rice (not the easy-cook type),250,g,
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
1 heaped tsp five-spice powder,five-spice powder,1,heaped tsp,
3 tbsp dry sherry,dry sherry,3,tbsp,
140 g frozen petit pois,frozen petit pois,140,g,
