Input,quantity,unit,item,comment
2 tbsp plain flour,2,tbsp,plain flour,
0.25 tsp freshly ground black pepper,0.25,tsp,freshly ground black pepper,
2 tsp picked oregano leaves,2,tsp,picked oregano leaves,
"pomegranate seeds, to serve",,,pomegranate seeds,to serve
2 tsp ground cumin,2,tsp,ground cumin,
2 mugs rigatoni,2,mugs,rigatoni,
"4 fresh salmon fillets, halved widthways",4,,fresh salmon fillets,halved widthways
"3 red peppers, deseeded and diced",3,,red peppers,deseeded and diced
900 ml chicken or vegetable stock,900,ml,chicken or vegetable stock,
60 ml rice vinegar,60,ml,rice vinegar,
1.5 tbsp olive oil,1.5,tbsp,olive oil,
"400 g red kidney beans, drained and rinsed",400,g,red kidney beans,drained and rinsed
"2 carrots, peeled and grated",2,,carrots,peeled and grated
275 ml chicken stock,275,ml,chicken stock,
1x 50 g bag rocket,1x,50 g bag,rocket,
"3 cloves garlic, finely chopped",3,cloves,garlic,finely chopped
2 heaped tsp ground cumin,2,heaped tsp,ground cumin,
"1 small onion, chopped",1,small,onion,chopped
"2 spring onions, finely chopped, green parts reserved and sliced",2,,spring onions,"finely chopped, green parts reserved and sliced"
2 tsp lemon juice,2,tsp,lemon juice,
2 mugs boiling water,2,mugs,boiling water,
2 tbsp each of chopped fresh coriander and mint leaves,2,tbsp,each of chopped fresh coriander and mint leaves,
Bunch of mint,,,Bunch of mint,
2 tsp salt,2,tsp,salt,
1 tbsp olive oil,1,tbsp,olive oil,
"4 spring onions, diced",4,,spring onions,diced
1 tsp dried thyme,1,tsp,dried thyme,
"1 cucumber, sliced diagonally",1,,cucumber,sliced diagonally
0.25 tsp hot chilli powder,0.25,tsp,hot chilli powder,
2 tsp cumin,2,tsp,cumin,
"6 allspice berries, crushed",6,,allspice berries,crushed
2 vegetable stock cube,2,,vegetable stock cube,
freshly chopped parsley,,,freshly chopped parsley,
"300 g dried red lentils, rinsed",300,g,dried red lentils,rinsed
Blue dragon thai green curry pack,,,Blue dragon thai green curry pack,
Salt to taste,,,Salt to taste,
2 tsp dried oregano,2,tsp,dried oregano,
"200 g potatoes, cubed",200,g,potatoes,cubed
500 g rigatoni,500,g,rigatoni,
0.25 cup fresh parsley,0.25,cup,fresh parsley,
"400 g chicken breast, thinly sliced",400,g,chicken breast,thinly sliced
175 g ready to eat dried apricots,175,g,ready to eat dried apricots,
"4 medium sweet potatoes, peeled",4,medium,sweet potatoes,peeled
"small handful fresh coriander, chopped",,small handful,fresh coriander,chopped
3 tbsp sesame oil,3,tbsp,sesame oil,
"450 g peeled potatoes, cut into chunks",450,g,peeled potatoes,cut into chunks
sea salt and freshly ground black pepper,,,sea salt and freshly ground black pepper,
pinch of saffron,,pinch,of saffron,
1 tsp ground coriander,1,tsp,ground coriander,
"2 carrots, thinly sliced",2,,carrots,thinly sliced
3 tbsp sesame oil,3,tbsp,sesame oil,
"1 onion, chopped",1,,onion,chopped
"5 potatoes, peeled and cut into 2 cm chunks",5,,potatoes,peeled and cut into 2 cm chunks
"wholegrain bread rolls, lettuce, salsa, to serve",,,"wholegrain bread rolls, lettuce, salsa",to serve
24 small good-quality black olives,24,small,good-quality black olives,
"3 tbsp sage, finely chopped",3,tbsp,sage,finely chopped
"1x 400 g tin butter beans, rinsed and drained.",1x,400 g tin,butter beans,rinsed and drained.
1 tbsp olive oil,1,tbsp,olive oil,
1 tbsp dried Italian herbs,1,tbsp,dried Italian herbs,
"4 cloves garlic, crushed with the flat of a knife",4,cloves,garlic,crushed with the flat of a knife
1 tbsp cocoa,1,tbsp,cocoa,
1 tsp extra virgin olive oil,1,tsp,extra virgin olive oil,
2 tbsp olive oil,2,tbsp,olive oil,
2x 400 g cans chopped tomatoes,2x,400 g cans,chopped tomatoes,
0.333 mug cold water,0.333,mug,cold water,
"4 spring onions, chopped",4,,spring onions,chopped
"150 g mozzarella cheese, drained and thinly sliced",150,g,mozzarella cheese,drained and thinly sliced
"6 sprigs thyme, woody stems removed",6,sprigs,thyme,woody stems removed
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"small handful coriander, chopped",,small handful,coriander,chopped
2 cups long grain rice,2,cups,long grain rice,
"2 tsp butter, softened",2,tsp,butter,softened
1 tbsp olive oil,1,tbsp,olive oil,
1 tsp mustard seeds (any colour),1,tsp,mustard seeds (any colour),
450 g raw shrimp,450,g,raw shrimp,
2 tsp black sesame seeds (optional),2,tsp,black sesame seeds (optional),
3 tsp jerk seasoning,3,tsp,jerk seasoning,
1x 400 g can chopped tomato,1x,400 g can,chopped tomato,
1 tbsp grated fresh ginger root,1,tbsp,grated fresh ginger root,
powdered sugar to coat,,,powdered sugar to coat,
500 g diced braising steak,500,g,diced braising steak,
juice and zest of 1 orange,,,juice and zest of 1 orange,
0.5 tsp ground cumin,0.5,tsp,ground cumin,
"freshly grated Pecorino cheese, to serve",,,freshly grated Pecorino cheese,to serve
2 tbsp butter,2,tbsp,butter,
1 tsp dried oregano,1,tsp,dried oregano,
"2 cloves garlic, sliced",2,cloves,garlic,sliced
25 g butter,25,g,butter,
150 ml double cream,150,ml,double cream,
500 g passata,500,g,passata,
"275 g risotto rice, rinsed and drained",275,g,risotto rice,rinsed and drained
1 chicken breast,1,,chicken breast,
"1 onion, chopped",1,,onion,chopped
"250 g mushrooms, sliced",250,g,mushrooms,sliced
"175 g cooked, peeled prawns",175,g,"cooked, peeled prawns",
1.5 l hot chicken stock,1.5,l,hot chicken stock,
0.25 tsp garlic powder,0.25,tsp,garlic powder,
"1x 250 g pack portobello mushrooms, cut into 1 cm slices",1x,250 g pack,portobello mushrooms,cut into 1 cm slices
"zest 1 lime, plus wedges to serve",,,zest 1 lime,plus wedges to serve
"a selection of sliced avocado or guacamole, chopped tomatoes, soured cream, shredded lettuce, sliced red onion, grated cheddar, sliced red chilli and lime halves, to serve",,,"a selection of sliced avocado or guacamole, chopped tomatoes, soured cream, shredded lettuce, sliced red onion, grated cheddar, sliced red chilli and lime halves, to serve",
"2 tbsp olive oil, divided",2,tbsp,olive oil,divided
3 tbsp olive oil,3,tbsp,olive oil,
700 ml hot chicken or vegetable stock,700,ml,hot chicken or vegetable stock,
0.25 cup finely chopped red onion,0.25,cup,finely chopped red onion,
2 red onions,2,,red onions,
"100 g fresh pineapple, cut into chunks",100,g,fresh pineapple,cut into chunks
0.75 tsp salt,0.75,tsp,salt,
"0.5-1 tbsp chipotle paste, to taste",0.5-1,tbsp,chipotle paste,to taste
"1 tbsp olive oil, plus 2 tsp",1,tbsp,olive oil,plus 2 tsp
1 veg stock cube,1,,veg stock cube,
"2 bulbs fennel, cut into thin wedges",2,bulbs,fennel,cut into thin wedges
2 tbsp ground cumin,2,tbsp,ground cumin,
"2 red onions, each cut into 6 wedges",2,,red onions,each cut into 6 wedges
"4 spring onions, chopped",4,,spring onions,chopped
6 tbsp extra virgin olive oil,6,tbsp,extra virgin olive oil,
100 g cream cheese,100,g,cream cheese,
"1 medium carrot, peeled and finely diced (about 4 ounces; 120g)",1,medium,carrot,peeled and finely diced (about 4 ounces; 120g)
"30 g root ginger, finely chopped",30,g,root ginger,finely chopped
"1 avocado, sliced",1,,avocado,sliced
"4 tomatoes, sliced",4,,tomatoes,sliced
2 fillets skinless thick white fish,2,fillets,skinless thick white fish,
2 mugs water,2,mugs,water,
"600 g parsnips, peeled and cut into 4 cm chunks",600,g,parsnips,peeled and cut into 4 cm chunks
"0.5x 150 g ball mozzarella, patted dry and torn into chunks",0.5x,150 g ball,mozzarella,patted dry and torn into chunks
2 tbsp plain flour,2,tbsp,plain flour,
"1x 220 g can chickpeas, rinsed and drained",1x,220 g can,chickpeas,rinsed and drained
"14 ready-to-eat apricots, roughly chopped",14,,ready-to-eat apricots,roughly chopped
"3 sticks celery, diced",3,sticks,celery,diced
"1 clove garlic, crushed",1,clove,garlic,crushed
1-2 tsp chilli sauce,1-2,tsp,chilli sauce,
"1 fat clove garlic, finely chopped",1,fat clove,garlic,finely chopped
500 g mushrooms,500,g,mushrooms,
1 heaped tbsp chopped parsley leaves,1,heaped tbsp,chopped parsley leaves,
"400 g chickpeas, drained and rinsed",400,g,chickpeas,drained and rinsed
"2.5 cm fresh root ginger, peeled and chopped",2.5,cm,fresh root ginger,peeled and chopped
2 tbsp dark soy sauce,2,tbsp,dark soy sauce,
"1x 200 g can tuna in spring water, drained",1x,200 g can,tuna in spring water,drained
400 g wild rice,400,g,wild rice,
250 g samphire,250,g,samphire,
"6 spring onions, sliced",6,,spring onions,sliced
1x 500 g pack fesh gnocchi,1x,500 g pack,fesh gnocchi,
2 tbsp sundried tomato paste (optional),2,tbsp,sundried tomato paste (optional),
"2 courgettes, cut lengthways into 3 mm slices",2,,courgettes,cut lengthways into 3 mm slices
1 tbsp mild curry paste,1,tbsp,mild curry paste,
"500 g potatoes, cut into chunks",500,g,potatoes,cut into chunks
2 tbsp capers,2,tbsp,capers,
bunch coriander,,bunch,coriander,
"1 red pepper, julienned",1,,red pepper,julienned
"salad, to serve (optional)",,,salad,to serve (optional)
0.5 tsp fennel seeds,0.5,tsp,fennel seeds,
juice of 2 limes,,,juice of 2 limes,
oil,,,oil,
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"1 lemon, zested",1,,lemon,zested
2 tsp cornflour,2,tsp,cornflour,
"1 large yellow onion, thinly sliced",1,large,yellow onion,thinly sliced
1 tsp oregano,1,tsp,oregano,
350 g fusilli,350,g,fusilli,
"1 onion, sliced",1,,onion,sliced
2 tsp baking powder,2,tsp,baking powder,
0.25 cup basil pesto,0.25,cup,basil pesto,
"4 cloves garlic, smashed",4,cloves,garlic,smashed
spaghetti or pasta,,,spaghetti or pasta,
"soured cream and guacamole, to serve (optional)",,,soured cream and guacamole,to serve (optional)
"250 g punnet cherry tomatoes, halved",250,g,punnet cherry tomatoes,halved
"2 cloves garlic, crushed",2,cloves,garlic,crushed
0.125 tsp freshly cracked black pepper,0.125,tsp,freshly cracked black pepper,
3 cloves garlic,3,cloves,garlic,
2 mugs pasta,2,mugs,pasta,
"1.5 lbs zucchini or other summer squash, or a combination, halved lengthwise and cut into 0.5"" thick pieces",1.5,lbs,"zucchini or other summer squash, or a combination","halved lengthwise and cut into 0.5"" thick pieces"
400 g spaghetti,400,g,spaghetti,
"3 tbsp olive oil, plus a little extra to serve",3,tbsp,olive oil,plus a little extra to serve
170 g tomato paste,170,g,tomato paste,
Fish sauce,,,Fish sauce,
"2 inch piece fresh ginger, peeled and grated",2,inch piece,fresh ginger,peeled and grated
"2 cloves garlic, crushed",2,cloves,garlic,crushed
1 tbsp olive oil,1,tbsp,olive oil,
150 ml vegetable stock,150,ml,vegetable stock,
"250 g small, sweet cherry tomatoes",250,g,"small, sweet cherry tomatoes",
"1 lime, finely grate the zest, then cut into wedges to serve",1,,lime,"finely grate the zest, then cut into wedges to serve"
"beaten egg, to glaze",,,beaten egg,to glaze
1 lemon,1,,lemon,
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"green salad, to serve",,,green salad,to serve
"3 tbsp freshly grated Parmesan cheese, plus extra to serve",3,tbsp,freshly grated Parmesan cheese,plus extra to serve
1 tbsp grated fresh root ginger,1,tbsp,grated fresh root ginger,
1 tbsp olive oil,1,tbsp,olive oil,
1 tsp dried oregano,1,tsp,dried oregano,
3 cloves garlic,3,cloves,garlic,
1.33333 cups pearl couscous,1.33333,cups,pearl couscous,
"0.25 cup parmesan cheese, finely grated or shaved (omit for dairy-free)",0.25,cup,parmesan cheese,finely grated or shaved (omit for dairy-free)
"1 onion, chopped",1,,onion,chopped
"150 g mushrooms, sliced",150,g,mushrooms,sliced
5 tbsp extra virgin olive oil,5,tbsp,extra virgin olive oil,
500 g minced lamb,500,g,minced lamb,
2 tbsp olive oil,2,tbsp,olive oil,
1 pinch chilli flakes,1,pinch,chilli flakes,
1.5 mugs water + 1 chicken stock cube,1.5,mugs,water + 1 chicken stock cube,
500 g beef mince,500,g,beef mince,
80 g freshly grated Parmesan cheese,80,g,freshly grated Parmesan cheese,
"1 kg sweet potatoes, peeled and chopped into chunks",1,kg,sweet potatoes,peeled and chopped into chunks
3 tbsp red wine vinegar,3,tbsp,red wine vinegar,
1x 400 ml can coconut milk,1x,400 ml can,coconut milk,
dried thyme,,,dried thyme,
"4 cloves garlic, finely choppped",4,cloves,garlic,finely choppped
2 salmon steaks,2,,salmon steaks,
"20 olives, half black, half green, roughly chopped",20,,olives,"half black, half green, roughly chopped"
0.5 mug Marsala wine (or sherry),0.5,mug,Marsala wine (or sherry),
"2x 380 g carton black beans, rinsed and drained",2x,380 g carton,black beans,rinsed and drained
2 tsp ras el hanout,2,tsp,ras el hanout,
4 salmon fillets,4,,salmon fillets,
"0.25 white cabbage, thinly sliced",0.25,,white cabbage,thinly sliced
1.5 tsp (or 1 sachet) fast-action dried yeast,1.5,tsp,(or 1 sachet) fast-action dried yeast,
1 tbsp fish sauce,1,tbsp,fish sauce,
"3 cloves garlic, chopped",3,cloves,garlic,chopped
0.5 cup raw cashews,0.5,cup,raw cashews,
2 tsp ground cumin,2,tsp,ground cumin,
0.5 mug red lentils,0.5,mug,red lentils,
"1 red chilli, deseeded",1,,red chilli,deseeded
salt and ground black pepper,,,salt and ground black pepper,
"cooked rice, for serving",,,cooked rice,for serving
2 tsp tomato puree,2,tsp,tomato puree,
0.5 tsp ground mace,0.5,tsp,ground mace,
1 tbsp red wine vinegar,1,tbsp,red wine vinegar,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
"3 cloves garlic, sliced",3,cloves,garlic,sliced
"2 cloves garlic, chopped",2,cloves,garlic,chopped
0.5 tbsp vegetable oil,0.5,tbsp,vegetable oil,
grated rind and juice of 1 orange,,,grated rind and juice of 1 orange,
"175 g new potatoes, halved",175,g,new potatoes,halved
1 tbsp harissa paste,1,tbsp,harissa paste,
"2 carrots, sliced",2,,carrots,sliced
"4 clementines, peeled and cut into rings",4,,clementines,peeled and cut into rings
green veg,,,green veg,
"320 g pack mini chicken fillets, cut into thirds",320,g,pack mini chicken fillets,cut into thirds
1 tsp paprika,1,tsp,paprika,
1x 400 g can plum tomatoes,1x,400 g can,plum tomatoes,
1 tsp mustard powder,1,tsp,mustard powder,
2 tbsp freshly chopped coriander,2,tbsp,freshly chopped coriander,
2 mugs boiling water,2,mugs,boiling water,
4 tbsp red split lentils,4,tbsp,red split lentils,
2 tsp olive or rapeseed oil,2,tsp,olive or rapeseed oil,
"1 small yellow onion, peeled and roughly chopped",1,small,yellow onion,peeled and roughly chopped
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
handful micro herbs,,,handful micro herbs,
100 g feta,100,g,feta,
few sprigs thyme,,few sprigs,thyme,
"1 onion, roughly chopped",1,,onion,roughly chopped
1x 410 g can red kidney beans,1x,410 g can,red kidney beans,
"2 green chillies, finely chopped",2,,green chillies,finely chopped
2 salmon fillets,2,,salmon fillets,
"mangetout, to serve",,,mangetout,to serve
1 tbsp minced fresh ginger,1,tbsp,minced fresh ginger,
"6 spring onions, chopped",6,,spring onions,chopped
1 tbsp olive oil,1,tbsp,olive oil,
"1 red pepper, deseeded and sliced",1,,red pepper,deseeded and sliced
"small bunch parsley, chopped",,small bunch,parsley,chopped
2 cups water,2,cups,water,
3 fresh chillis,3,,fresh chillis,
0.25 tsp salt,0.25,tsp,salt,
"2 tbsp melted butter (allowed to cool slightly) or olive oil, plus extra for cooking",2,tbsp,melted butter (allowed to cool slightly) or olive oil,plus extra for cooking
1 heaped tsp ground cumin,1,heaped tsp,ground cumin,
100 ml red wine,100,ml,red wine,
6 cups chicken stock,6,cups,chicken stock,
"2-3 preserved lemons, deseeded and chopped",2-3,,preserved lemons,deseeded and chopped
1 onion,1,,onion,
1 zucchini,1,,zucchini,
150 g fine green beans,150,g,fine green beans,
1 tbsp sweet smoked paprika,1,tbsp,sweet smoked paprika,
1 litre vegetable stock,1,litre,vegetable stock,
2 yellow peppers,2,,yellow peppers,
300 ml single cream (or double cream for a really creamy texture),300,ml,single cream (or double cream for a really creamy texture),
1 tbsp olive oil,1,tbsp,olive oil,
"125 g extra-mature cheddar, grated",125,g,extra-mature cheddar,grated
450 g minced pork,450,g,minced pork,
"1 large egg, beaten",1,large,egg,beaten
"1 boneless pork shoulder joint, about 1.25 kg",1,,boneless pork shoulder joint,about 1.25 kg
1 tsp tamarind paste,1,tsp,tamarind paste,
"1 onion, chopped",1,,onion,chopped
"6 cloves garlic, crushed",6,cloves,garlic,crushed
"chopped fresh flat-leaf parsley, to serve",,,chopped fresh flat-leaf parsley,to serve
1 tbsp greshly grated ginger,1,tbsp,greshly grated ginger,
"3 carrots, cut into chunks",3,,carrots,cut into chunks
2 tbsp red wine vinegar,2,tbsp,red wine vinegar,
"Red onion, very thinly sliced, for serving (optional)",,,Red onion,"very thinly sliced, for serving (optional)"
"650 g baby yellow potatoes, quartered",650,g,baby yellow potatoes,quartered
salt and pepper,,,salt and pepper,
drizzle sweet chilli sauce (optional),,,drizzle sweet chilli sauce (optional),
juice of a lemon,,,juice of a lemon,
2 Pink Lady apples,2,,Pink Lady apples,
"1 lime, juiced",1,,lime,juiced
100 g fat-free natural yogurt,100,g,fat-free natural yogurt,
1 tbsp olive oil,1,tbsp,olive oil,
2 tbsp tomato puree,2,tbsp,tomato puree,
olive oil,,,olive oil,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
450 g boneless skinless chicken breasts,450,g,boneless skinless chicken breasts,
2 tbsp caster sugar,2,tbsp,caster sugar,
50 g harissa,50,g,harissa,
"400 g tinned tomatoes, diced",400,g,tinned tomatoes,diced
fresh ginger,,,fresh ginger,
"2 peppers, any colour, deseeded and finely chopped",2,,peppers,"any colour, deseeded and finely chopped"
16-20 cooken peeled king prawns,16-20,,cooken peeled king prawns,
1 tsp paprika powder,1,tsp,paprika powder,
100 g fresh breadcrumbs,100,g,fresh breadcrumbs,
"2 lbs boneless skinless chicken thighs, trimmed of excess fat (6 to 8 thighs)",2,lbs,boneless skinless chicken thighs,trimmed of excess fat (6 to 8 thighs)
"2 tbsp fresh mint, chopped",2,tbsp,fresh mint,chopped
"2 tbsp oil, to fry",2,tbsp,oil,to fry
200 g frozen peas,200,g,frozen peas,
6 Linda McCartney sausages,6,,Linda McCartney sausages,
"6 spring onions, sliced",6,,spring onions,sliced
2 tbsp malt vinegar,2,tbsp,malt vinegar,
"125 g dried Puy lentils, washed and drained",125,g,dried Puy lentils,washed and drained
150 ml white wine,150,ml,white wine,
zest of lemon,,,zest of lemon,
"6 rashers smoked back bacon, roughly chopped",6,rashers,smoked back bacon,roughly chopped
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
"2 cloves garlic, chopped",2,cloves,garlic,chopped
1.5 tbsp maple syrup,1.5,tbsp,maple syrup,
135 g plain flour,135,g,plain flour,
8 small lamb chops,8,small,lamb chops,
0.5 cup boiling water,0.5,cup,boiling water,
good pinch of ground cloves,,good pinch,of ground cloves,
1 tsp pilau rice seasoning,1,tsp,pilau rice seasoning,
2 tbsp light brown sugar,2,tbsp,light brown sugar,
2x 15 oz cans chickpeas,2x,15 oz cans,chickpeas,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
"Sliced Persian cucumbers, red onions and tomatoes",,,"Sliced Persian cucumbers, red onions and tomatoes",
1 tsp capers,1,tsp,capers,
250 g penne,250,g,penne,
"icing sugar, for dusting",,,icing sugar,for dusting
"1 red chilli, deseeded and sliced",1,,red chilli,deseeded and sliced
10 dried apricots,10,,dried apricots,
2 spring onions,2,,spring onions,
1 tbsp cornflour,1,tbsp,cornflour,
1 tsp dried rosemary,1,tsp,dried rosemary,
Tracklements apple and sage jelly,,,Tracklements apple and sage jelly,
"1.5 lbs hot and/or sweet Italian sausage, casings removed",1.5,lbs,hot and/or sweet Italian sausage,casings removed
2 tbsp half-fat creme fraiche,2,tbsp,half-fat creme fraiche,
"2-3 sprigs curly parsley, chopped",2-3,sprigs,curly parsley,chopped
"1x 400 g can chickpea, drained",1x,400 g can,chickpea,drained
"0.5x 30 g pack coriander, half chopped and half leaves picked",0.5x,30 g pack,coriander,half chopped and half leaves picked
"1 large onion, halved and sliced",1,large,onion,halved and sliced
"3 clove garlic, sliced",3,clove,garlic,sliced
salt and black pepper,,,salt and black pepper,
"rice and peas , to serve",,,rice and peas ,to serve
"50 g pine nuts, toasted",50,g,pine nuts,toasted
80 g bacon lardons,80,g,bacon lardons,
1.5 tbsp light brown sugar,1.5,tbsp,light brown sugar,
"few sprigs thyme, leaves picked",,few sprigs,thyme,leaves picked
220 g salmon fillets,220,g,salmon fillets,
3 tbsp olive oil,3,tbsp,olive oil,
salt and pepper,,,salt and pepper,
"1 handful fresh coriander, leaves picked to serve",1,handful,fresh coriander,leaves picked  to serve
"175 g chestnut mushrooms, sliced",175,g,chestnut mushrooms,sliced
1 tbsp olive oil,1,tbsp,olive oil,
"100 g Parmesan cheese, grated",100,g,Parmesan cheese,grated
salt,,,salt,
"4 skinless Scottish salmon fillets, cut into 3 cm chunks",4,,skinless Scottish salmon fillets,cut into 3 cm chunks
1 mug basmati rice,1,mug,basmati rice,
handful basil leaves,,handful,basil leaves,
"1 clove garlic, finely chopped",1,clove,garlic,finely chopped
"3 tbsp small capers, rinsed",3,tbsp,small capers,rinsed
2 tbsp rice vinegar,2,tbsp,rice vinegar,
2x 400 g tin chopped tomatoes,2x,400 g tin,chopped tomatoes,
1 pork or chicken stock cube,1,,pork or chicken stock cube,
8 good quality sausages,8,,good quality sausages,
450 g passata,450,g,passata,
1x 30 g pack basil,1x,30 g pack,basil,
25-50 g butter,25-50,g,butter,
"50 g Parmesan or vegetarian alternative, finely grated",50,g,Parmesan or vegetarian alternative,finely grated
"2 cloves garlic, minced",2,cloves,garlic,minced
"2 white onions, peeled and cut into quarters",2,,white onions,peeled and cut into quarters
"1 onion, sliced",1,,onion,sliced
500 ml chicken stock,500,ml,chicken stock,
1 tsp dried oregano,1,tsp,dried oregano,
2 tbsp sunflower oil,2,tbsp,sunflower oil,
300 g baby new potatoes,300,g,baby new potatoes,
2 tbsp extra-virgin olive oil,2,tbsp,extra-virgin olive oil,
50 g cashew nuts,50,g,cashew nuts,
8 sausages,8,,sausages,
125 g minced pork,125,g,minced pork,
"2 ready-roasted red peppers (from a jar), roughly chopped",2,,ready-roasted red peppers (from a jar),roughly chopped
"2 tbsp thyme, chopped",2,tbsp,thyme,chopped
250 g cherry tomatoes,250,g,cherry tomatoes,
2x 300 g packs fresh rice noodles,2x,300 g packs,fresh rice noodles,
60 ml fresh lime juice,60,ml,fresh lime juice,
"2 large onions, diced",2,large,onions,diced
juice 1 lemon,,,juice 1 lemon,
1 tbsp paprika,1,tbsp,paprika,
2 tbsp soy sauce,2,tbsp,soy sauce,
2 tsp balsamic vinegar,2,tsp,balsamic vinegar,
"2 red onions, sliced",2,,red onions,sliced
"1 small leek or &frac12; large leek, sliced",1,small,leek or &frac12; large leek,sliced
"60 g soft goat's cheese, crumbled",60,g,soft goat's cheese,crumbled
0.125 tsp garlic powder,0.125,tsp,garlic powder,
1.5 tbsp olive oil,1.5,tbsp,olive oil,
1-2 cinnamon sticks,1-2,,cinnamon sticks,
2 tsp garam masala,2,tsp,garam masala,
"4 carrots, cubed",4,,carrots,cubed
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
paprika,,,paprika,
2 Scotch bonnet chilli peppers,2,,Scotch bonnet chilli peppers,
"4 slices brioche, cut 2 cm thick (about 150 g)",4,slices,brioche,cut 2 cm thick (about 150 g)
"450 g fresh cow's milk mozzarella, cut or torn into 1-inch pieces, patted dry",450,g,fresh cow's milk mozzarella,"cut or torn into 1-inch pieces, patted dry"
400 ml stock,400,ml,stock,
"1 onion, finely chopped",1,,onion,finely chopped
100 ml milk,100,ml,milk,
"4 cloves garlic, finely grated",4,cloves,garlic,finely grated
25 g breadcrumbs,25,g,breadcrumbs,
1 tbsp curry powder,1,tbsp,curry powder,
tomato puree,,,tomato puree,
2 tbsp cornstarch,2,tbsp,cornstarch,
salt and pepper,,,salt and pepper,
"1 clove garlic, crushed",1,clove,garlic,crushed
6 large eggs,6,large,eggs,
"1 bunch coriander, chopped",1,bunch,coriander,chopped
1 tsp dried basil,1,tsp,dried basil,
400-500 ml chicken stock,400-500 ml,,chicken stock,
"6 ripe Italian plum tomatoes, peeled and finely chopped",6,,ripe Italian plum tomatoes,peeled and finely chopped
"1 tub fresh live yoghurt, to serve",1,tub,fresh live yoghurt,to serve
0.5 fat red chilli,0.5,,fat red chilli,
juice 1 lime,,,juice 1 lime,
1 tbsp dried thyme,1,tbsp,dried thyme,
150 g Parmesan,150,g,Parmesan,
"1 heaped tsp ground cinnamon, plus &frac12; tsp to garnish",1,heaped tsp,ground cinnamon,plus &frac12; tsp to garnish
950 ml boiling water (you may need more),950,ml,boiling water (you may need more),
1x 500 g jar of passata,1x,500 g jar,of passata,
knob of butter,,knob,of butter,
2 tbsp clear honey,2,tbsp,clear honey,
2 tsp picked marjoram leaves (optional),2,tsp,picked marjoram leaves (optional),
0.5 tsp garlic powder,0.5,tsp,garlic powder,
"1 large onion, chopped",1,large,onion,chopped
4 tbsp extra virgin olive oil,4,tbsp,extra virgin olive oil,
1 onion,1,,onion,
1x 250 g tub ricotta,1x,250 g tub,ricotta,
500 g long grain rice,500,g,long grain rice,
"sticky rice, to serve",,,sticky rice,to serve
4 tbsp olive oil,4,tbsp,olive oil,
1 yellow onion,1,,yellow onion,
1 onion,1,,onion,
500 ml water (or chicken stock),500,ml,water (or chicken stock),
3 heaping spoonfuls mascarpone,3,heaping spoonfuls,mascarpone,
"1 bell pepper, diced fairly small",1,,bell pepper,diced fairly small
"1 clove garlic, finely chopped",1,clove,garlic,finely chopped
85 g frozen soya beans or peas,85,g,frozen soya beans or peas,
"1 egg, beaten",1,,egg,beaten
"4 pork steaks, thinly sliced",4,,pork steaks,thinly sliced
1 brown onion,1,,brown onion,
"6 pitted Kalamata olives, sliced",6,,pitted Kalamata olives,sliced
1 aubergine,1,,aubergine,
1 tbsp vegetable oil,1,tbsp,vegetable oil,
"0.5 green pepper, chopped",0.5,,green pepper,chopped
2 tbsp olive oil,2,tbsp,olive oil,
garlic,,,garlic,
2 tbsp olive oil,2,tbsp,olive oil,
"1 lb trottole pasta or medium shells, fusilli, rotini, cavatappi",1,lb,trottole pasta or medium shells,"fusilli, rotini, cavatappi"
0.5 tsp dried oregano,0.5,tsp,dried oregano,
sliced lime for garnish (optional),,,sliced lime for garnish (optional),
salt and pepper,,,salt and pepper,
4 cups seedless cucumbers,4,cups,seedless cucumbers,
"1 aubergine, cut into bite-sized chunks",1,,aubergine,cut into bite-sized chunks
"2 small courgettes, sliced thickly on the diagonal",2,small,courgettes,sliced thickly on the diagonal
salt and pepper,,,salt and pepper,
1 packed cup shredded Amul cheese or white Cheddar,1,packed cup,shredded Amul cheese or white Cheddar,
1 cinnamon stick,1,,cinnamon stick,
"1 large head of broccoli (600-700 g), cut into florets stalk peeled and chopped into 0.5"" pieces",1,large head,of broccoli (600-700 g),"cut into florets  stalk peeled and chopped into 0.5"" pieces"
1 tbsp sunflower oil,1,tbsp,sunflower oil,
"1 clove garlic, finely chopped",1,clove,garlic,finely chopped
"2 leeks, finely chopped",2,,leeks,finely chopped
3 tbsp rapeseed oil,3,tbsp,rapeseed oil,
65 g reduced-fat Greek natural yoghurt,65,g,reduced-fat Greek natural yoghurt,
"250 g chestnut mushrooms, sliced",250,g,chestnut mushrooms,sliced
0.25 cup extra-virgin olive oil,0.25,cup,extra-virgin olive oil,
50 g butter,50,g,butter,
3 medium eggs (at room temperature),3,medium,eggs (at room temperature),
175 ml chick stock,175,ml,chick stock,
"1 red chilli, deseeded and chopped",1,,red chilli,deseeded and chopped
